city,city_ascii,lat,lng,admin_name,population,admin_name_english
Warsaw,Warsaw,"52,23","21,0111",Mazowieckie,1860281,Mazovia
Warszawa,Warszawa,"52,23","21,0111",Mazowieckie,1860281,Mazovia
Kraków,Krakow,"50,0614","19,9372",Małopolskie,804237,Lesser Poland
Wrocław,Wroclaw,"51,11","17,0325",Dolnośląskie,672929,Lower Silesia
Łódź,Lodz,"51,7769","19,4547",Łódzkie,670642,Łódź Voivodeship
Poznań,Poznan,"52,4083","16,9336",Wielkopolskie,546859,Greater Poland
Gdańsk,Gdansk,"54,3475","18,6453",Pomorskie,486022,Pomerania
Szczecin,Szczecin,"53,4325","14,5481",Zachodniopomorskie,396168,West Pomerania
Bydgoszcz,Bydgoszcz,"53,1219","18,0003",Kujawsko-Pomorskie,337666,Kuyavian-Pomeranian
Lublin,Lublin,"51,25","22,5667",Lubelskie,334681,Lublin Voivodeship
Białystok,Bialystok,"53,1353","23,1456",Podlaskie,294242,Podlaskie
Katowice,Katowice,"50,2625","19,0217",Śląskie,285711,Silesia
Gdynia,Gdynia,"54,5175","18,54",Pomorskie,245222,Pomerania
Zielona Góra,Zielona Gora,"51,9333","15,5",Lubuskie,216781,Lubusz
Częstochowa,Czestochowa,"50,8","19,1167",Śląskie,213107,Silesia
Radom,Radom,"51,4036","21,1567",Mazowieckie,201601,Mazovia
Toruń,Torun,"53,0222","18,6111",Kujawsko-Pomorskie,198273,Kuyavian-Pomeranian
Rzeszów,Rzeszow,"50,0333",22,Podkarpackie,195871,Subcarpathian
Sosnowiec,Sosnowiec,"50,2833","19,1333",Śląskie,193660,Silesia
Kielce,Kielce,"50,8742","20,6333",Świętokrzyskie,186894,Holy Cross
Gliwice,Gliwice,"50,2833","18,6667",Śląskie,174016,Silesia
Olsztyn,Olsztyn,"53,7778","20,4792",Warmińsko-Mazurskie,170225,Warmian-Masurian
Bielsko-Biała,Bielsko-Biala,"49,8225","19,0444",Śląskie,169089,Silesia
Zabrze,Zabrze,"50,3025","18,7781",Śląskie,158307,Silesia
Bytom,Bytom,"50,3483","18,9156",Śląskie,153274,Silesia
Ruda Śląska,Ruda Slaska,"50,2628","18,8536",Śląskie,133793,Silesia
Rybnik,Rybnik,"50,0833","18,55",Śląskie,133772,Silesia
Opole,Opole,"50,6667","17,9333",Opolskie,127387,Opole Voivodeship
Tychy,Tychy,"50,1236","18,9867",Śląskie,124882,Silesia
Gorzów Wielkopolski,Gorzow Wielkopolski,"52,7333","15,25",Lubuskie,119964,Lubusz
Dąbrowa Górnicza,Dabrowa Gornicza,"50,3214","19,1872",Śląskie,116930,Silesia
